"","x1","x2","Type"
"TCGE-01-0015-17-A",-1.02361745445705,-7.11912524045252,"Normal"
"TCGE-01-0016-17-A",4.9002024361516,-4.95528881340031,"Normal"
"TCGE-01-0017-17-A",2.95047733447692,-5.91159773540011,"Normal"
"TCGE-01-0018-17-A",5.1877212532878,-4.55970622122785,"Normal"
"TCGE-01-0019-17-A",2.50464924593918,-7.66225298052895,"Normal"
"TCGE-01-0002-17-A",3.6504860963095,-7.28044808505819,"Normal"
"TCGE-01-0020-17-A",-0.452390269453262,-6.60758970755446,"Normal"
"TCGE-01-0021-17-A",-0.556859271760954,-6.90677059012089,"Normal"
"TCGE-01-0022-17-A",2.10040115580626,-7.22321204143961,"Normal"
"TCGE-01-0023-17-A",3.94447551699592,-6.43643332035468,"Normal"
"TCGE-01-0024-17-A",0.872270706154572,-8.44963515732573,"Normal"
"TCGE-01-0025-17-A",1.77451421902657,-9.18653590609439,"Normal"
"TCGE-01-0026-17-A",2.23631860048524,-8.34873285599324,"Normal"
"TCGE-01-0027-17-A",3.21672297315874,-9.6525725637847,"Normal"
"TCGE-01-0028-17-A",3.49095953463914,-5.85843599956773,"Normal"
"TCGE-01-0029-17-A",2.14537506775189,-6.22721229554406,"Normal"
"TCGE-01-0003-17-A",3.05076368765676,-6.30838473963332,"Normal"
"TCGE-01-0030-17-A",3.23065947305227,-9.36977695361649,"Normal"
"TCGE-01-0031-17-A",0.901042633201652,-7.3797757397987,"Normal"
"TCGE-01-0032-17-A",4.64166845982793,-7.10446156375175,"Normal"
"TCGE-01-0033-17-A",1.53994172170196,-7.12337118784856,"Normal"
"TCGE-01-0034-17-A",2.38909543276269,-4.81954936785512,"Normal"
"TCGE-01-0035-17-A",1.54070755377258,-7.9990890399984,"Normal"
"TCGE-01-0036-17-A",1.0889363598913,-8.26188768717886,"Normal"
"TCGE-01-0037-17-A",4.30256003058859,-4.75899602526095,"Normal"
"TCGE-01-0038-17-A",1.5100467774585,-4.49172641010221,"Normal"
"TCGE-01-0039-17-A",3.1694549685169,-7.39827937594423,"Normal"
"TCGE-01-0004-17-A",1.96618763263776,-4.29586131888486,"Normal"
"TCGE-01-0040-17-A",4.25664938650528,-6.07969349980409,"Normal"
"TCGE-01-0041-17-A",2.29440637565152,-9.48518007766468,"Normal"
"TCGE-01-0042-17-A",1.78286467853882,-5.17623747202415,"Normal"
"TCGE-01-0043-17-A",1.4444898580073,-9.9780020320996,"Normal"
"TCGE-01-0044-17-A",5.52964611344903,-4.85874107539628,"Normal"
"TCGE-01-0045-17-A",0.431097976241942,-5.98379363662323,"Normal"
"TCGE-01-0046-17-A",2.30020295908674,-4.4348739326939,"Normal"
"TCGE-01-0047-17-A",2.92263657806757,-7.79960553584437,"Normal"
"TCGE-01-0048-17-A",1.40188690698539,-7.33375937054075,"Normal"
"TCGE-01-0049-17-A",4.10907817675863,-6.45778879110157,"Normal"
"TCGE-01-0005-17-A",1.36094970670312,-8.93945402318725,"Normal"
"TCGE-01-0050-17-A",3.13514335396655,-8.42729171353152,"Normal"
"TCGE-01-0051-17-A",1.75773525415835,-8.40221500400917,"Normal"
"TCGE-01-0052-17-A",2.82114031678291,-4.04682911687289,"Normal"
"TCGE-01-0053-17-A",0.432431275542413,-6.3312013478966,"Normal"
"TCGE-01-0054-17-A",1.32351114057475,-7.79723535900403,"Normal"
"TCGE-01-0055-17-A",3.05744895188369,-9.92866409953226,"Normal"
"TCGE-01-0056-17-A",0.246098402221961,-5.78894432312036,"Normal"
"TCGE-01-0057-17-A",3.54400316846019,-5.81424447576588,"Normal"
"TCGE-01-0058-17-A",0.405124274913357,-4.44876401070256,"Normal"
"TCGE-01-0059-17-A",0.13967181491469,-7.35314809180596,"Normal"
"TCGE-01-0006-17-A",4.70244159216816,-5.17970279811785,"Normal"
"TCGE-01-0060-17-A",3.60064772898501,-7.08101666767491,"Normal"
"TCGE-01-0061-17-A",0.655651286031025,-7.29685121479686,"Normal"
"TCGE-01-0062-17-A",2.21131764063441,-5.73000875327117,"Normal"
"TCGE-01-0063-17-A",0.724144502039484,-7.82198224753736,"Normal"
"TCGE-01-0064-17-A",2.45402856491799,-10.0454268053907,"Normal"
"TCGE-01-0065-17-A",0.178698310071846,-7.08801865161005,"Normal"
"TCGE-01-0066-17-A",3.69405299064169,-5.16435583391452,"Normal"
"TCGE-01-0067-17-A",2.27101904056973,-7.12264452823888,"Normal"
"TCGE-01-0068-17-A",3.8425306216407,-5.95022541325631,"Normal"
"TCGE-01-0069-17-A",2.27299565117595,-3.81675579078025,"Normal"
"TCGE-01-0007-17-A",-1.06800937498102,-7.54858191293037,"Normal"
"TCGE-01-0070-17-A",2.70615521334949,-7.69761818803482,"Normal"
"TCGE-01-0071-17-A",0.560382274410871,-8.2942773278932,"Normal"
"TCGE-01-0072-17-A",-1.5113942413287,-7.7702481467437,"Normal"
"TCGE-01-0073-17-A",0.363675429547994,-8.92928070925139,"Normal"
"TCGE-01-0074-17-A",3.62083128258263,-5.28175450960151,"Normal"
"TCGE-01-0075-17-A",1.6989333932133,-5.29697812296749,"Normal"
"TCGE-01-0076-17-A",-0.338843211015032,-7.43200417893805,"Normal"
"TCGE-01-0077-17-A",-1.25187099862364,-6.75309453429888,"Normal"
"TCGE-01-0079-17-A",2.49856602617642,-7.91406604489651,"Normal"
"TCGE-01-0008-17-A",2.28445766140845,-6.72993242867529,"Normal"
"TCGE-01-0080-17-A",-0.274943820324589,-7.4950312314317,"Normal"
"TCGE-01-0081-17-A",-0.0289871437918567,-7.48246825127305,"Normal"
"TCGE-01-0082-17-A",-0.264526817272332,-6.09816398657901,"Normal"
"TCGE-01-0083-17-A",0.434257501299655,-8.07700333221101,"Normal"
"TCGE-01-0084-17-A",2.93317943499904,-7.11526753561588,"Normal"
"TCGE-01-0085-17-A",-0.734874045113179,-5.68732322670198,"Normal"
"TCGE-01-0086-17-A",2.13075675278111,-8.01804792249563,"Normal"
"TCGE-01-0009-17-A",1.06424977110877,-4.61619491812801,"Normal"
"TCGE-01-0087-30-A",-4.85094323424638,5.32130264538214,"Lung Cancer"
"TCGE-01-0096-30-A",-4.71201723221314,7.4675485477329,"Lung Cancer"
"TCGE-01-0097-30-A",4.38623250040687,7.20350695004812,"Lung Cancer"
"TCGE-01-0098-30-A",4.19780053177595,7.08589731760695,"Lung Cancer"
"TCGE-01-0099-30-A",2.76503949152595,6.58023458097101,"Lung Cancer"
"TCGE-01-0100-30-A",5.87608964937666,6.81683996756832,"Lung Cancer"
"TCGE-01-0101-30-A",3.66530976516857,5.25368164295044,"Lung Cancer"
"TCGE-01-0102-30-A",4.60885604737643,5.45370098091842,"Lung Cancer"
"TCGE-01-0103-30-A",5.58920119033487,6.31834451239854,"Lung Cancer"
"TCGE-01-0104-30-A",-3.8858958911625,2.47798228705508,"Lung Cancer"
"TCGE-01-0105-30-A",-4.46964138798286,4.60984340262721,"Lung Cancer"
"TCGE-01-0088-30-A",3.68145765521056,5.18419475237543,"Lung Cancer"
"TCGE-01-0106-30-A",1.80730002316512,-10.2483617316273,"Lung Cancer"
"TCGE-01-0107-30-A",-5.31550291871965,2.08164048187528,"Lung Cancer"
"TCGE-01-0108-30-A",2.85150780540381,7.43057199247012,"Lung Cancer"
"TCGE-01-0109-30-A",0.844950176052967,8.21973664980848,"Lung Cancer"
